#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,TOTAL SUBSCRIBERS,TOTAL VIEWS,TOTAL VIDEOS
1,That French Guy @davidyrodriguez,8M,0.01,France,,2.4M,8145455,2669389281,386
2,Tibo InShape @tiboinshape,8M,0.01,France,Fitness and Health Funny,2.4M,8688608,6007883980,1126
3,CAMILLE_LA_DANSEUSE @camille_la_danseuse,7.7M,0.01,France,Entertainment and Music,2.3M,7698611,1921479023,400
4,Zinidin zidan @zidanofficial_,5.1M,0.011,France,,1.5M,5304348,3472522047,247
5,AS Monaco @asmonaco,5M,0.034,France,Sports,1.5M,5108696,3267938053,1376
6,Wonguy @wonguy,4.4M,0.013,France,Photography Arts and Crafts,1.3M,4683824,2956141746,206
7,The Sun King @carlomalis,3.3M,0.01,France,Entertainment and Music,990K,3661429,2010234446,35
8,Keen’V @keenvsurtiktok,3.2M,0.01,France,Entertainment and Music,960K,4800000,3361601852,301
9,Isaías Espinoza @chefenproceso,3M,0.01,France,,900K,3209434,1096060232,731
10,The F2 @f2,2.8M,0.01,France,,840K,2832941,1416436318,60
11,Brunograffer @brunograffer,2.7M,0.014,France,Arts and Crafts Celebrity,810K,3335294,961052246,55
12,TikTok France @tiktok_france,2.4M,0.01,France,,720K,2571429,1641716538,167
13,Le producteur @le.producteur,2.3M,0.01,France,Entertainment and Music Product Education,690K,2343125,1115571089,40
14,ogee @ogee_off,2.3M,0.023,France,Entertainment and Music,690K,2343125,608795151,192
15,SAPHO 🫶🏼 @saphoo,2.3M,0.016,France,Arts and Crafts,690K,2316429,548431304,128
16,Mayamystic @mayamystic,2.2M,0.01,France,Animation and Cosplay Entertainment and Music,660K,2607000,861141206,3489
17,Ahmed__art @ahmed__art,2.2M,0.01,France,Arts and Crafts Celebrity,660K,2386154,1750827147,3167
18,Paris is Daddy @paris.senpai,2.1M,0.01,France,,630K,2383784,1003806279,157
19,Momotns OFFICIEL @momotns67,1.9M,0.01,France,,570K,1987297,2039645767,696
20,Drogba888🧸 @drogba888,1.9M,0.019,France,Entertainment and Music,570K,2042500,275159599,63
21,Kev Adams @kevadams,1.8M,0.011,France,Entertainment and Music,540K,2823429,806129160,258
22,Cristina Cordula @cristinacordulaoff,1.7M,0.011,France,Fashion and Accessories Business and Finance,510K,2156571,342292919,67
23,SUPERMASSIVE @supermassivemusic,1.6M,0.013,France,Music,480K,1755429,483751933,116
24,Aisha_Paradis.du.henné🇵🇰🇫🇷 @paradis_du_henne,1.6M,0.01,France,Beauty and Self Care,480K,1609412,457597425,146
25,Céline @celineinno,1.6M,0.01,France,,480K,1680000,1733701973,405
26,MaitresseAdeline🌼 @maitressadeline,1.6M,0.01,France,,480K,1614545,556717431,107
27,Anto @totochegang,1.5M,0.001,France,Entertainment and Music,450K,1581818,1207076333,855
28,AnnaLaura Pavy @lalpavy,1.5M,0.15,France,Entertainment and Music Arts and Crafts Food Fashion and Accessories,450K,1538710,832960175,14
29,ines @inescious,1.5M,0.01,France,Entertainment and Music,450K,1712903,1114556322,620
30,Thomas Rossier @thomasrossier,1.4M,0.01,France,Fashion and Accessories Arts and Crafts,420K,1610000,680151155,5625
31,Un Garçon Stupide! @ungarconstupide,1.4M,0.01,France,Entertainment and Music Funny Life and Society,420K,1456000,474462694,235
32,Setsu @sweetysetsu,1.4M,0.018,France,Arts and Crafts,420K,1393241,308933062,511
33,Armand Hasanpapaj @armandhasanpapaj,1.3M,0.02,France,Entertainment and Music,390K,1504286,793206844,51
34,Lucas Humoriste @lucas.humoriste,1.3M,0.01,France,,390K,2145000,1963765227,151
35,RCLens @rclens,1.3M,0.025,France,,390K,1587857,796749656,110
36,aitoush_n @aitoush_n,1.3M,0.011,France,,390K,1291179,341457641,54
37,Vanessa Njoya @vanessanjoya,1.2M,0.014,France,,360K,1222667,932146301,733
38,Jean-Baptiste Djebbari @jbdjebb,1.2M,0.012,France,,360K,1440000,65390176,53
39,TURNER @turner.my,1.2M,0.011,France,Entertainment and Music,360K,1573333,836029129,111
40,Alissar 🌸 @alissar_yousef,1.2M,0.017,France,Beauty and Self Care Entertainment and Music,360K,1243385,469344659,342
41,ΤHΣOS @theos.mp4,1.2M,0.014,France,Entertainment and Music,360K,1296000,420921977,287
42,Wawad Beatbox @wawadbeatboxx,1.2M,0.01,France,Entertainment and Music,360K,1281600,571029348,266
43,Benji Samat @benji_samat,1.2M,0.017,France,,360K,1569600,600972298,206
44,Paul Cabannes @paulcabannes_,1.1M,0.11,France,,330K,1133000,509377647,667
45,Elliott Norris @callmebelly,1.1M,0.01,France,,330K,1333750,368760551,868
46,Le Tour de France @letourdefrance,1.1M,0.012,France,Sports,330K,1218130,349456105,108
47,Marie Antoinette @xmarieangel,1.1M,0.01,France,,330K,1223870,383433264,223
48,🇩🇿La Brams Family🇹🇷 @bramsfamily,1.1M,0.013,France,family,330K,1091870,309655322,723
49,KOSH @kosh.officiel,1.1M,0.01,France,Entertainment and Music,330K,1117696,437714643,148
50,kylian mbappe @kylianmbappe.tik,1.1M,0.01,France,Sports,330K,1366500,570760671,391
51,BILELZEN 💸 @bilelzen,1M,0.011,France,Funny,300K,1568182,842662417,103
52,Clemoise @clemoise,1M,0.014,France,,300K,992727,283016252,24
53,Roy @royzafr,1M,0.012,France,,300K,1011429,652088373,919
54,Lilly Luta @lilly.luta,992.8K,0.01,France,,297.8K,1013938,484768132,152
55,Selena Moondust @selena_moondust,991.9K,0.01,France,,297.6K,1162057,965535395,44
